Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/13,25-29,3,7,12/05/2020 02:15:01 PM
2020/03/14,25-29,2,9,12/05/2020 02:15:01 PM
2020/03/15,25-29,1,10,12/05/2020 02:15:01 PM
2020/03/16,25-29,1,11,12/05/2020 02:15:01 PM
2020/03/17,25-29,0,11,12/05/2020 02:15:01 PM
2020/03/18,25-29,3,14,12/05/2020 02:15:01 PM
2020/03/19,25-29,0,14,12/05/2020 02:15:01 PM
2020/03/20,25-29,5,19,12/05/2020 02:15:01 PM
2020/03/21,25-29,1,20,12/05/2020 02:15:01 PM
2020/03/22,25-29,4,24,12/05/2020 02:15:01 PM
2020/03/23,25-29,4,28,12/05/2020 02:15:01 PM
2020/03/24,25-29,6,34,12/05/2020 02:15:01 PM
2020/03/25,25-29,3,37,12/05/2020 02:15:01 PM
2020/03/26,25-29,5,42,12/05/2020 02:15:01 PM
2020/03/27,25-29,3,45,12/05/2020 02:15:01 PM
2020/03/28,25-29,3,48,12/05/2020 02:15:01 PM
2020/03/29,25-29,1,49,12/05/2020 02:15:01 PM
2020/03/30,25-29,5,54,12/05/2020 02:15:01 PM
2020/03/31,25-29,7,61,12/05/2020 02:15:01 PM
2020/04/01,25-29,7,68,12/05/2020 02:15:01 PM
2020/04/02,25-29,2,70,12/05/2020 02:15:01 PM
2020/04/03,25-29,2,72,12/05/2020 02:15:01 PM
2020/04/04,25-29,0,72,12/05/2020 02:15:01 PM
2020/04/05,25-29,8,80,12/05/2020 02:15:01 PM
2020/04/06,25-29,3,83,12/05/2020 02:15:01 PM
2020/04/07,25-29,4,87,12/05/2020 02:15:01 PM
2020/04/08,25-29,3,90,12/05/2020 02:15:01 PM
2020/04/09,25-29,9,99,12/05/2020 02:15:01 PM
2020/04/10,25-29,1,100,12/05/2020 02:15:01 PM
2020/04/11,25-29,2,102,12/05/2020 02:15:01 PM
2020/04/12,25-29,1,103,12/05/2020 02:15:01 PM
2020/04/13,25-29,3,106,12/05/2020 02:15:01 PM
2020/04/14,25-29,3,109,12/05/2020 02:15:01 PM
2020/04/15,25-29,1,110,12/05/2020 02:15:01 PM
2020/04/16,25-29,2,112,12/05/2020 02:15:01 PM
2020/04/17,25-29,2,114,12/05/2020 02:15:01 PM
2020/04/18,25-29,0,114,12/05/2020 02:15:01 PM
2020/04/19,25-29,1,115,12/05/2020 02:15:01 PM
2020/04/20,25-29,2,117,12/05/2020 02:15:01 PM
2020/04/21,25-29,1,118,12/05/2020 02:15:01 PM
2020/04/22,25-29,3,121,12/05/2020 02:15:01 PM
2020/04/23,25-29,2,123,12/05/2020 02:15:01 PM
2020/04/24,25-29,2,125,12/05/2020 02:15:01 PM
2020/04/25,25-29,0,125,12/05/2020 02:15:01 PM
2020/04/26,25-29,2,127,12/05/2020 02:15:01 PM
2020/04/27,25-29,4,131,12/05/2020 02:15:01 PM
2020/04/28,25-29,9,140,12/05/2020 02:15:01 PM
2020/04/29,25-29,6,146,12/05/2020 02:15:01 PM
2020/04/30,25-29,6,152,12/05/2020 02:15:01 PM
2020/05/01,25-29,1,153,12/05/2020 02:15:01 PM
2020/05/02,25-29,4,157,12/05/2020 02:15:01 PM
2020/05/03,25-29,0,157,12/05/2020 02:15:01 PM
2020/05/04,25-29,7,164,12/05/2020 02:15:01 PM
2020/05/05,25-29,4,168,12/05/2020 02:15:01 PM
2020/05/06,25-29,6,174,12/05/2020 02:15:01 PM
2020/05/07,25-29,1,175,12/05/2020 02:15:01 PM
2020/05/08,25-29,2,177,12/05/2020 02:15:01 PM
2020/05/09,25-29,0,177,12/05/2020 02:15:01 PM
2020/05/10,25-29,0,177,12/05/2020 02:15:01 PM
2020/05/11,25-29,2,179,12/05/2020 02:15:01 PM
2020/05/12,25-29,1,180,12/05/2020 02:15:01 PM
2020/05/13,25-29,2,182,12/05/2020 02:15:01 PM
2020/05/14,25-29,5,187,12/05/2020 02:15:01 PM
2020/05/15,25-29,2,189,12/05/2020 02:15:01 PM
2020/05/16,25-29,0,189,12/05/2020 02:15:01 PM
2020/05/17,25-29,2,191,12/05/2020 02:15:01 PM
2020/05/18,25-29,3,194,12/05/2020 02:15:01 PM
2020/05/19,25-29,2,196,12/05/2020 02:15:01 PM
2020/05/20,25-29,3,199,12/05/2020 02:15:01 PM
2020/05/21,25-29,5,204,12/05/2020 02:15:01 PM
2020/05/22,25-29,4,208,12/05/2020 02:15:01 PM
2020/05/23,25-29,3,211,12/05/2020 02:15:01 PM
2020/05/24,25-29,3,214,12/05/2020 02:15:01 PM
2020/05/25,25-29,0,214,12/05/2020 02:15:01 PM
2020/05/26,25-29,6,220,12/05/2020 02:15:01 PM
2020/05/27,25-29,2,222,12/05/2020 02:15:01 PM
2020/05/28,25-29,0,222,12/05/2020 02:15:01 PM
2020/05/29,25-29,3,225,12/05/2020 02:15:01 PM
2020/05/30,25-29,1,226,12/05/2020 02:15:01 PM
2020/05/31,25-29,2,228,12/05/2020 02:15:01 PM
2020/06/01,25-29,4,232,12/05/2020 02:15:01 PM
2020/06/02,25-29,3,235,12/05/2020 02:15:01 PM
2020/06/03,25-29,3,238,12/05/2020 02:15:01 PM
2020/06/04,25-29,6,244,12/05/2020 02:15:01 PM
2020/06/05,25-29,3,247,12/05/2020 02:15:01 PM
2020/06/06,25-29,1,248,12/05/2020 02:15:01 PM
2020/06/07,25-29,4,252,12/05/2020 02:15:01 PM
2020/06/08,25-29,6,258,12/05/2020 02:15:01 PM
2020/06/09,25-29,3,261,12/05/2020 02:15:01 PM
2020/06/10,25-29,0,261,12/05/2020 02:15:01 PM
2020/06/11,25-29,2,263,12/05/2020 02:15:01 PM
2020/06/12,25-29,1,264,12/05/2020 02:15:01 PM
2020/06/13,25-29,3,267,12/05/2020 02:15:01 PM
2020/06/14,25-29,3,270,12/05/2020 02:15:01 PM
2020/06/15,25-29,2,272,12/05/2020 02:15:01 PM
2020/06/16,25-29,6,278,12/05/2020 02:15:01 PM
2020/06/17,25-29,7,285,12/05/2020 02:15:01 PM
2020/06/18,25-29,9,294,12/05/2020 02:15:01 PM
2020/06/19,25-29,8,302,12/05/2020 02:15:01 PM
2020/06/20,25-29,6,308,12/05/2020 02:15:01 PM
2020/06/21,25-29,6,314,12/05/2020 02:15:01 PM
2020/06/22,25-29,15,329,12/05/2020 02:15:01 PM
2020/06/23,25-29,9,338,12/05/2020 02:15:01 PM
2020/06/24,25-29,8,346,12/05/2020 02:15:01 PM
2020/06/25,25-29,11,357,12/05/2020 02:15:01 PM
