Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/12,51-60,2,6,11/23/2020 02:15:02 PM
2020/03/13,51-60,3,9,11/23/2020 02:15:02 PM
2020/03/14,51-60,1,10,11/23/2020 02:15:02 PM
2020/03/15,51-60,0,10,11/23/2020 02:15:02 PM
2020/03/16,51-60,8,18,11/23/2020 02:15:02 PM
2020/03/17,51-60,3,21,11/23/2020 02:15:02 PM
2020/03/18,51-60,4,25,11/23/2020 02:15:02 PM
2020/03/19,51-60,3,28,11/23/2020 02:15:02 PM
2020/03/20,51-60,4,32,11/23/2020 02:15:02 PM
2020/03/21,51-60,7,39,11/23/2020 02:15:02 PM
2020/03/22,51-60,5,44,11/23/2020 02:15:02 PM
2020/03/23,51-60,7,51,11/23/2020 02:15:02 PM
2020/03/24,51-60,6,57,11/23/2020 02:15:02 PM
2020/03/25,51-60,5,62,11/23/2020 02:15:02 PM
2020/03/26,51-60,9,71,11/23/2020 02:15:02 PM
2020/03/27,51-60,4,75,11/23/2020 02:15:02 PM
2020/03/28,51-60,6,81,11/23/2020 02:15:02 PM
2020/03/29,51-60,0,81,11/23/2020 02:15:02 PM
2020/03/30,51-60,6,87,11/23/2020 02:15:02 PM
2020/03/31,51-60,9,96,11/23/2020 02:15:02 PM
2020/04/01,51-60,5,101,11/23/2020 02:15:02 PM
2020/04/02,51-60,3,104,11/23/2020 02:15:02 PM
2020/04/03,51-60,5,109,11/23/2020 02:15:02 PM
2020/04/04,51-60,2,111,11/23/2020 02:15:02 PM
2020/04/05,51-60,4,115,11/23/2020 02:15:02 PM
2020/04/06,51-60,6,121,11/23/2020 02:15:02 PM
2020/04/07,51-60,5,126,11/23/2020 02:15:02 PM
2020/04/08,51-60,14,140,11/23/2020 02:15:02 PM
2020/04/09,51-60,16,156,11/23/2020 02:15:02 PM
2020/04/10,51-60,7,163,11/23/2020 02:15:02 PM
2020/04/11,51-60,3,166,11/23/2020 02:15:02 PM
2020/04/12,51-60,5,171,11/23/2020 02:15:02 PM
2020/04/13,51-60,4,175,11/23/2020 02:15:02 PM
2020/04/14,51-60,9,184,11/23/2020 02:15:02 PM
2020/04/15,51-60,3,187,11/23/2020 02:15:02 PM
2020/04/16,51-60,5,192,11/23/2020 02:15:02 PM
2020/04/17,51-60,6,198,11/23/2020 02:15:02 PM
2020/04/18,51-60,1,199,11/23/2020 02:15:02 PM
2020/04/19,51-60,9,208,11/23/2020 02:15:02 PM
2020/04/20,51-60,9,217,11/23/2020 02:15:02 PM
2020/04/21,51-60,5,222,11/23/2020 02:15:02 PM
2020/04/22,51-60,4,226,11/23/2020 02:15:02 PM
2020/04/23,51-60,5,231,11/23/2020 02:15:02 PM
2020/04/24,51-60,7,238,11/23/2020 02:15:02 PM
