Specimen Collection Date,Race/Ethnicity,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/06/11,Asian,2,383,12/05/2020 02:15:01 PM
2020/06/12,Asian,1,384,12/05/2020 02:15:01 PM
2020/06/14,Asian,1,387,12/05/2020 02:15:01 PM
2020/06/16,Asian,3,390,12/05/2020 02:15:01 PM
2020/06/17,Asian,2,392,12/05/2020 02:15:01 PM
2020/06/18,Asian,5,397,12/05/2020 02:15:01 PM
2020/06/19,Asian,2,399,12/05/2020 02:15:01 PM
2020/06/20,Asian,7,406,12/05/2020 02:15:01 PM
2020/11/13,Asian,16,1739,11/24/2020 02:15:01 PM
2020/06/13,Asian,2,386,12/05/2020 02:15:01 PM
2020/06/22,Asian,7,416,12/05/2020 02:15:01 PM
2020/06/23,Asian,11,427,12/05/2020 02:15:01 PM
2020/06/24,Asian,6,433,12/05/2020 02:15:01 PM
2020/06/06,Asian,1,369,12/05/2020 02:15:01 PM
2020/06/08,Asian,5,374,12/05/2020 02:15:01 PM
2020/06/03,Asian,2,361,12/05/2020 02:15:01 PM
2020/05/07,Asian,1,279,12/05/2020 02:15:01 PM
2020/06/21,Asian,3,409,12/05/2020 02:15:01 PM
2020/04/30,Asian,6,261,12/05/2020 02:15:01 PM
2020/05/01,Asian,4,265,12/05/2020 02:15:01 PM
2020/05/02,Asian,4,269,12/05/2020 02:15:01 PM
2020/06/09,Asian,4,378,12/05/2020 02:15:01 PM
2020/06/10,Asian,3,381,12/05/2020 02:15:01 PM
2020/05/03,Asian,2,271,12/05/2020 02:15:01 PM
2020/05/04,Asian,1,272,12/05/2020 02:15:01 PM
2020/05/05,Asian,2,274,12/05/2020 02:15:01 PM
2020/05/06,Asian,4,278,12/05/2020 02:15:01 PM
2020/05/08,Asian,2,281,12/05/2020 02:15:01 PM
2020/05/09,Asian,1,282,12/05/2020 02:15:01 PM
2020/05/10,Asian,0,282,12/05/2020 02:15:01 PM
2020/05/11,Asian,3,285,12/05/2020 02:15:01 PM
2020/05/15,Asian,4,305,12/05/2020 02:15:01 PM
2020/05/16,Asian,4,309,12/05/2020 02:15:01 PM
2020/05/17,Asian,1,310,12/05/2020 02:15:01 PM
2020/05/18,Asian,4,314,12/05/2020 02:15:01 PM
2020/05/19,Asian,0,314,12/05/2020 02:15:01 PM
2020/05/20,Asian,3,317,12/05/2020 02:15:01 PM
2020/05/21,Asian,8,325,12/05/2020 02:15:01 PM
2020/05/22,Asian,0,325,12/05/2020 02:15:01 PM
2020/05/23,Asian,3,328,12/05/2020 02:15:01 PM
2020/05/24,Asian,1,329,12/05/2020 02:15:01 PM
2020/05/25,Asian,0,329,12/05/2020 02:15:01 PM
2020/05/26,Asian,5,334,12/05/2020 02:15:01 PM
2020/05/27,Asian,5,339,12/05/2020 02:15:01 PM
2020/05/28,Asian,3,342,12/05/2020 02:15:01 PM
2020/05/29,Asian,1,343,12/05/2020 02:15:01 PM
2020/05/30,Asian,3,346,12/05/2020 02:15:01 PM
2020/05/31,Asian,5,351,12/05/2020 02:15:01 PM
2020/06/01,Asian,5,356,12/05/2020 02:15:01 PM
2020/06/02,Asian,3,359,12/05/2020 02:15:01 PM
2020/06/04,Asian,5,366,12/05/2020 02:15:01 PM
2020/06/05,Asian,2,368,12/05/2020 02:15:01 PM
2020/06/25,Asian,10,443,12/05/2020 02:15:01 PM
2020/06/26,Asian,6,449,12/05/2020 02:15:01 PM
2020/06/27,Asian,2,451,12/05/2020 02:15:01 PM
2020/06/28,Asian,5,456,12/05/2020 02:15:01 PM
2020/06/29,Asian,11,467,12/05/2020 02:15:01 PM
2020/06/30,Asian,15,482,12/05/2020 02:15:01 PM
2020/07/01,Asian,7,489,12/05/2020 02:15:01 PM
2020/07/02,Asian,7,496,12/05/2020 02:15:01 PM
2020/11/02,Asian,15,1582,11/24/2020 02:15:01 PM
2020/11/03,Asian,16,1598,11/24/2020 02:15:01 PM
2020/11/04,Asian,27,1625,11/24/2020 02:15:01 PM
2020/11/05,Asian,14,1639,11/24/2020 02:15:01 PM
2020/11/06,Asian,9,1648,11/24/2020 02:15:01 PM
2020/11/07,Asian,10,1658,11/24/2020 02:15:01 PM
2020/11/08,Asian,2,1660,11/24/2020 02:15:01 PM
2020/11/09,Asian,13,1673,11/24/2020 02:15:01 PM
2020/11/10,Asian,11,1684,11/24/2020 02:15:01 PM
