Specimen Collection Date,Race/Ethnicity,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/06/17,Asian,2,392,11/23/2020 02:15:02 PM
2020/06/18,Asian,5,397,11/23/2020 02:15:02 PM
2020/06/19,Asian,2,399,11/23/2020 02:15:02 PM
2020/06/20,Asian,7,406,11/23/2020 02:15:02 PM
2020/06/21,Asian,3,409,11/23/2020 02:15:02 PM
2020/06/22,Asian,7,416,11/23/2020 02:15:02 PM
2020/06/23,Asian,11,427,11/23/2020 02:15:02 PM
2020/06/24,Asian,6,433,11/23/2020 02:15:02 PM
2020/06/25,Asian,10,443,11/23/2020 02:15:02 PM
2020/06/26,Asian,6,449,11/23/2020 02:15:02 PM
2020/06/27,Asian,2,451,11/23/2020 02:15:02 PM
2020/06/28,Asian,5,456,11/23/2020 02:15:02 PM
2020/06/29,Asian,11,467,11/23/2020 02:15:02 PM
2020/06/30,Asian,15,482,11/23/2020 02:15:02 PM
2020/07/01,Asian,7,489,11/23/2020 02:15:02 PM
2020/07/02,Asian,7,496,11/23/2020 02:15:02 PM
2020/07/03,Asian,7,503,11/23/2020 02:15:02 PM
2020/07/04,Asian,0,503,11/23/2020 02:15:02 PM
2020/07/05,Asian,6,509,11/23/2020 02:15:02 PM
2020/07/06,Asian,12,521,11/23/2020 02:15:02 PM
2020/07/07,Asian,11,532,11/23/2020 02:15:02 PM
2020/07/08,Asian,5,537,11/23/2020 02:15:02 PM
2020/07/09,Asian,10,547,11/23/2020 02:15:02 PM
2020/07/10,Asian,6,553,11/23/2020 02:15:02 PM
2020/07/11,Asian,5,558,11/23/2020 02:15:02 PM
2020/07/12,Asian,8,566,11/23/2020 02:15:02 PM
2020/07/13,Asian,7,573,11/23/2020 02:15:02 PM
2020/07/14,Asian,16,589,11/23/2020 02:15:02 PM
2020/07/15,Asian,15,604,11/23/2020 02:15:02 PM
2020/07/16,Asian,8,612,11/23/2020 02:15:02 PM
2020/07/17,Asian,8,620,11/23/2020 02:15:02 PM
2020/07/18,Asian,6,626,11/23/2020 02:15:02 PM
2020/07/19,Asian,4,630,11/23/2020 02:15:02 PM
2020/07/20,Asian,11,641,11/23/2020 02:15:02 PM
2020/07/21,Asian,12,653,11/23/2020 02:15:02 PM
2020/07/22,Asian,11,664,11/23/2020 02:15:02 PM
2020/07/23,Asian,10,674,11/23/2020 02:15:02 PM
2020/07/24,Asian,9,683,11/23/2020 02:15:02 PM
2020/07/25,Asian,5,688,11/23/2020 02:15:02 PM
2020/07/26,Asian,5,693,11/23/2020 02:15:02 PM
2020/07/27,Asian,8,701,11/23/2020 02:15:02 PM
2020/07/28,Asian,4,705,11/23/2020 02:15:02 PM
2020/07/29,Asian,15,720,11/23/2020 02:15:02 PM
2020/07/30,Asian,17,737,11/23/2020 02:15:02 PM
2020/07/31,Asian,20,757,11/23/2020 02:15:02 PM
2020/08/03,Asian,7,782,11/23/2020 02:15:02 PM
2020/08/04,Asian,7,789,11/23/2020 02:15:02 PM
2020/08/05,Asian,13,802,11/23/2020 02:15:02 PM
2020/08/06,Asian,9,811,11/23/2020 02:15:02 PM
2020/08/07,Asian,11,822,11/23/2020 02:15:02 PM
2020/08/08,Asian,4,826,11/23/2020 02:15:02 PM
2020/08/09,Asian,3,829,11/23/2020 02:15:02 PM
2020/08/10,Asian,12,841,11/23/2020 02:15:02 PM
2020/08/11,Asian,7,848,11/23/2020 02:15:02 PM
2020/08/12,Asian,10,858,11/23/2020 02:15:02 PM
2020/08/13,Asian,8,866,11/23/2020 02:15:02 PM
2020/08/14,Asian,23,889,11/23/2020 02:15:02 PM
2020/08/15,Asian,16,905,11/23/2020 02:15:02 PM
2020/08/16,Asian,8,913,11/23/2020 02:15:02 PM
2020/08/17,Asian,8,921,11/23/2020 02:15:02 PM
2020/08/18,Asian,15,936,11/23/2020 02:15:02 PM
2020/08/19,Asian,12,948,11/23/2020 02:15:02 PM
2020/08/20,Asian,12,960,11/23/2020 02:15:02 PM
2020/08/21,Asian,15,975,11/23/2020 02:15:02 PM
2020/08/22,Asian,10,985,11/23/2020 02:15:02 PM
2020/08/23,Asian,8,993,11/23/2020 02:15:02 PM
2020/08/24,Asian,11,1004,11/23/2020 02:15:02 PM
2020/08/25,Asian,10,1014,11/23/2020 02:15:02 PM
2020/08/26,Asian,17,1031,11/23/2020 02:15:02 PM
2020/08/27,Asian,17,1048,11/23/2020 02:15:02 PM
2020/08/28,Asian,9,1057,11/23/2020 02:15:02 PM
2020/08/29,Asian,8,1065,11/23/2020 02:15:02 PM
2020/08/30,Asian,4,1069,11/23/2020 02:15:02 PM
2020/08/31,Asian,17,1086,11/23/2020 02:15:02 PM
2020/09/01,Asian,12,1098,11/23/2020 02:15:02 PM
2020/09/02,Asian,27,1125,11/23/2020 02:15:02 PM
2020/09/03,Asian,17,1142,11/23/2020 02:15:02 PM
2020/09/04,Asian,8,1150,11/23/2020 02:15:02 PM
2020/09/05,Asian,8,1158,11/23/2020 02:15:02 PM
2020/09/06,Asian,6,1164,11/23/2020 02:15:02 PM
2020/09/07,Asian,11,1175,11/23/2020 02:15:02 PM
2020/09/08,Asian,13,1188,11/23/2020 02:15:02 PM
2020/09/14,Asian,14,1277,11/23/2020 02:15:02 PM
2020/09/15,Asian,17,1294,11/23/2020 02:15:02 PM
2020/09/16,Asian,6,1300,11/23/2020 02:15:02 PM
2020/09/17,Asian,7,1307,11/23/2020 02:15:02 PM
2020/09/18,Asian,12,1319,11/23/2020 02:15:02 PM
2020/09/19,Asian,6,1325,11/23/2020 02:15:02 PM
2020/09/20,Asian,5,1330,11/23/2020 02:15:02 PM
2020/09/21,Asian,6,1336,11/23/2020 02:15:02 PM
2020/09/22,Asian,10,1346,11/23/2020 02:15:02 PM
2020/09/23,Asian,8,1354,11/23/2020 02:15:02 PM
2020/09/24,Asian,11,1365,11/23/2020 02:15:02 PM
2020/09/25,Asian,14,1379,11/23/2020 02:15:02 PM
2020/09/26,Asian,2,1381,11/23/2020 02:15:02 PM
2020/09/27,Asian,4,1385,11/23/2020 02:15:02 PM
2020/09/28,Asian,9,1394,11/23/2020 02:15:02 PM
2020/09/29,Asian,10,1404,11/23/2020 02:15:02 PM
2020/09/30,Asian,13,1417,11/23/2020 02:15:02 PM
2020/10/01,Asian,4,1421,11/23/2020 02:15:02 PM
2020/10/02,Asian,6,1427,11/23/2020 02:15:02 PM
2020/10/03,Asian,4,1431,11/23/2020 02:15:02 PM
2020/10/05,Asian,3,1437,11/23/2020 02:15:02 PM
2020/10/06,Asian,6,1443,11/23/2020 02:15:02 PM
2020/10/07,Asian,4,1447,11/23/2020 02:15:02 PM
2020/10/08,Asian,1,1448,11/23/2020 02:15:02 PM
2020/10/09,Asian,5,1453,11/23/2020 02:15:02 PM
2020/10/10,Asian,3,1456,11/23/2020 02:15:02 PM
2020/10/11,Asian,2,1458,11/23/2020 02:15:02 PM
2020/10/12,Asian,4,1462,11/23/2020 02:15:02 PM
2020/10/13,Asian,3,1465,11/23/2020 02:15:02 PM
2020/10/14,Asian,4,1469,11/23/2020 02:15:02 PM
2020/10/15,Asian,4,1473,11/23/2020 02:15:02 PM
2020/10/16,Asian,3,1476,11/23/2020 02:15:02 PM
2020/10/17,Asian,6,1482,11/23/2020 02:15:02 PM
2020/10/18,Asian,0,1482,11/23/2020 02:15:02 PM
2020/10/19,Asian,9,1491,11/23/2020 02:15:02 PM
2020/10/20,Asian,1,1492,11/23/2020 02:15:02 PM
2020/10/21,Asian,3,1495,11/23/2020 02:15:02 PM
2020/10/22,Asian,8,1503,11/23/2020 02:15:02 PM
2020/10/23,Asian,6,1509,11/23/2020 02:15:02 PM
2020/10/24,Asian,4,1513,11/23/2020 02:15:02 PM
2020/10/25,Asian,7,1520,11/23/2020 02:15:02 PM
2020/10/26,Asian,7,1527,11/23/2020 02:15:02 PM
2020/10/27,Asian,9,1536,11/23/2020 02:15:02 PM
2020/10/28,Asian,9,1545,11/23/2020 02:15:02 PM
2020/10/29,Asian,3,1548,11/23/2020 02:15:02 PM
2020/10/30,Asian,6,1554,11/23/2020 02:15:02 PM
2020/10/31,Asian,9,1563,11/23/2020 02:15:02 PM
2020/11/01,Asian,4,1567,11/23/2020 02:15:02 PM
2020/05/16,Asian,4,309,11/23/2020 02:15:02 PM
2020/11/02,Asian,15,1582,11/23/2020 02:15:02 PM
2020/11/03,Asian,16,1598,11/23/2020 02:15:02 PM
2020/11/04,Asian,26,1624,11/23/2020 02:15:02 PM
2020/11/05,Asian,14,1638,11/23/2020 02:15:02 PM
2020/11/06,Asian,9,1647,11/23/2020 02:15:02 PM
2020/11/07,Asian,10,1657,11/23/2020 02:15:02 PM
2020/11/08,Asian,2,1659,11/23/2020 02:15:02 PM
2020/11/09,Asian,13,1672,11/23/2020 02:15:02 PM
2020/11/11,Asian,14,1697,11/23/2020 02:15:02 PM
2020/11/12,Asian,25,1722,11/23/2020 02:15:02 PM
2020/11/13,Asian,16,1738,11/23/2020 02:15:02 PM
2020/11/14,Asian,12,1750,11/23/2020 02:15:02 PM
2020/11/15,Asian,8,1758,11/23/2020 02:15:02 PM
2020/11/17,Asian,20,1807,11/23/2020 02:15:02 PM
2020/11/18,Asian,25,1832,11/23/2020 02:15:02 PM
2020/11/19,Asian,19,1851,11/23/2020 02:15:02 PM
2020/11/20,Asian,3,1854,11/23/2020 02:15:02 PM
2020/11/21,Asian,2,1856,11/23/2020 02:15:02 PM
2020/11/22,Asian,0,1856,11/23/2020 02:15:02 PM
2020/04/01,Native Hawaiian or Other Pacific Islander,3,7,11/23/2020 02:15:02 PM
2020/04/02,Native Hawaiian or Other Pacific Islander,0,7,11/23/2020 02:15:02 PM
2020/04/03,Native Hawaiian or Other Pacific Islander,0,7,11/23/2020 02:15:02 PM
2020/04/04,Native Hawaiian or Other Pacific Islander,0,7,11/23/2020 02:15:02 PM
2020/04/05,Native Hawaiian or Other Pacific Islander,0,7,11/23/2020 02:15:02 PM
2020/04/08,Native Hawaiian or Other Pacific Islander,1,10,11/23/2020 02:15:02 PM
2020/04/09,Native Hawaiian or Other Pacific Islander,1,11,11/23/2020 02:15:02 PM
2020/04/10,Native Hawaiian or Other Pacific Islander,0,11,11/23/2020 02:15:02 PM
2020/04/11,Native Hawaiian or Other Pacific Islander,0,11,11/23/2020 02:15:02 PM
2020/04/12,Native Hawaiian or Other Pacific Islander,2,13,11/23/2020 02:15:02 PM
2020/04/13,Native Hawaiian or Other Pacific Islander,1,14,11/23/2020 02:15:02 PM
2020/04/14,Native Hawaiian or Other Pacific Islander,2,16,11/23/2020 02:15:02 PM
2020/04/15,Native Hawaiian or Other Pacific Islander,0,16,11/23/2020 02:15:02 PM
2020/04/16,Native Hawaiian or Other Pacific Islander,1,17,11/23/2020 02:15:02 PM
2020/04/17,Native Hawaiian or Other Pacific Islander,0,17,11/23/2020 02:15:02 PM
2020/04/18,Native Hawaiian or Other Pacific Islander,0,17,11/23/2020 02:15:02 PM
2020/04/19,Native Hawaiian or Other Pacific Islander,0,17,11/23/2020 02:15:02 PM
2020/04/20,Native Hawaiian or Other Pacific Islander,2,19,11/23/2020 02:15:02 PM
2020/04/21,Native Hawaiian or Other Pacific Islander,0,19,11/23/2020 02:15:02 PM
2020/04/22,Native Hawaiian or Other Pacific Islander,2,21,11/23/2020 02:15:02 PM
2020/04/23,Native Hawaiian or Other Pacific Islander,2,23,11/23/2020 02:15:02 PM
2020/04/24,Native Hawaiian or Other Pacific Islander,2,25,11/23/2020 02:15:02 PM
2020/04/25,Native Hawaiian or Other Pacific Islander,0,25,11/23/2020 02:15:02 PM
2020/04/26,Native Hawaiian or Other Pacific Islander,0,25,11/23/2020 02:15:02 PM
2020/04/27,Native Hawaiian or Other Pacific Islander,1,26,11/23/2020 02:15:02 PM
2020/04/28,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/04/29,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/04/30,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/01,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/02,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/03,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/04,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/05,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/06,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/07,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/08,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
2020/05/09,Native Hawaiian or Other Pacific Islander,0,26,11/23/2020 02:15:02 PM
